PedidoID,CategoriaID,CategoriaNome,CategoriaDescricao,ClienteID,ClienteNome,ClienteContato,ClienteCidade,ClientePaisID,ClientePais,Vendas Custo,Margem Bruta,Vendas,Desconto,Frete,Qtde,Data,VendedorID,ProdutoID,ProdutoNome,TransportadoraID,FornecedorID
10334,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"116,7875","10,61","127,40","0,00","41,01",10,26/05/2011,5,68,Cap,1,8
10450,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"174,973","78,61","253,58","42,26","39,15",6,28/08/2010,5,54,Patamonia Fleece Jacket,1,25
10850,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"244,1376","74,18","318,32","41,52","58,80",20,28/11/2011,4,25,Basket Vest,1,11
10814,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"659,745","276,93","936,68","122,18","76,36",30,10/11/2011,4,61,Adihash Running Shoe,1,29
10546,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"956,124","224,28","1180,40","0,00","37,46",40,27/02/2010,4,62,Sheat Shoes,1,29
10546,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"147,258","34,54","181,80","0,00","37,46",30,27/02/2010,4,35,LA. Shorts,1,16
10814,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"199,584","83,78","283,36","36,96","76,36",20,10/11/2011,4,43,Summer Shorts,1,20
10459,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"424,2672","88,13","512,40","0,00","26,28",40,02/03/2011,5,72,Rossi Shorts,1,14
10334,5,Ladies´Footwear,Ladies Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"502,9171","79,16","582,08","0,00","41,01",8,26/05/2011,5,52,Small Crocodile Boots,1,24
10814,6,Men´s Footwear,Men Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"214,488","90,03","304,52","39,72","76,36",8,10/11/2011,4,48,Root Boot,1,22
10843,6,Men´s Footwear,Men Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"334,1722","139,43","473,60","94,72","46,32",4,26/11/2011,4,51,Snake Boots,1,24
10806,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"350,2845","190,28","540,56","108,11","38,16",15,05/11/2012,4,74,Nikee Running Shoes,1,4
10546,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"352,026","82,57","434,60","0,00","37,46",10,27/02/2010,4,7,Conserve Shoes,1,3
10459,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"517,2019","138,67","655,87","31,23","26,28",16,02/03/2011,5,7,Conserve Shoes,1,3
10478,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"109,296","29,30","138,60","6,60","28,49",20,24/09/2010,4,10,Sapporoo Gloves,1,4
10450,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"127,4957","55,86","183,36","30,56","39,15",20,28/08/2010,5,10,Sapporoo Gloves,1,4
10814,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"143,856","33,74","177,60","0,00","76,36",20,10/11/2011,4,41,Duck Shirt,1,19
10459,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"198,3888","53,19","251,58","11,98","26,28",20,02/03/2011,5,46,Rodbye Troje,1,21
10785,1,Men´s Clothes,Fashion for Men,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"65,124","15,28","80,40","0,00","60,35",10,23/10/2011,9,75,Bow tie,2,12
10984,1,Men´s Clothes,Fashion for Men,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"81,8496","10,95","92,80","0,00","31,11",20,04/04/2012,3,24,Samba Socker  Socks,2,10
10984,3,Sportwear,Sports…,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"487,5255","65,22","552,75","0,00","31,11",55,04/04/2012,3,16,Wimbledon T-Shirt,2,7
10268,4,Bath Clothes,Beachwear,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"43,6838","6,88","50,56","0,00","69,28",4,05/06/2009,3,72,Rossi Shorts,2,14
10268,6,Men´s Footwear,Men Shoes,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"1013,472","159,53","1173,00","0,00","69,28",10,05/06/2009,3,29,Davenport,2,12
10785,8,Babywear,0-3 Years,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"52,002","12,20","64,20","0,00","60,35",10,23/10/2011,9,10,Sapporoo Gloves,2,4
10984,8,Babywear,0-3 Years,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,"315,8472","34,15","350,00","0,00","31,11",40,04/04/2012,3,36,Mehmet-Tröja,2,17
10520,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"31,0003","6,44","37,44","0,00","31,78",8,04/07/2011,3,24,Samba Socker  Socks,2,10
10722,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"47,3121","11,10","58,41","0,00","71,33",3,03/04/2011,9,2,Mr X Trousers,2,1
10312,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"65,9232","10,38","76,30","0,00","76,68",10,26/02/2011,3,75,Bow tie,2,12
11003,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"67,032","8,97","76,00","0,00","28,52",4,10/02/2012,3,1,Lenin Jeansshorts,2,1
10309,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"77,1379","12,14","89,28","0,00","71,58",3,22/01/2011,3,71,Atles Lussekofta,2,15
10695,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"79,704","18,70","98,40","0,00","40,99",20,12/04/2011,9,24,Samba Socker  Socks,2,10
10355,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"100,656","15,84","116,50","0,00","75,77",25,19/02/2012,3,24,Samba Socker  Socks,2,10
10946,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"102,0915","13,66","115,75","0,00","47,58",25,18/07/2012,9,24,Samba Socker  Socks,2,10
11000,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"114,8364","47,91","162,75","32,55","77,16",30,11/04/2012,3,24,Samba Socker  Socks,2,10
10335,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"117,9965","45,89","163,88","27,31","46,91",7,25/02/2011,9,2,Mr X Trousers,2,1
10736,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"122,31","28,69","151,00","0,00","63,69",20,16/09/2011,9,75,Bow tie,2,12
10517,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"154,4551","32,08","186,54","0,00","37,44",6,30/08/2010,9,70,US-Master Jeans,2,7
10420,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"207,7949","68,26","276,06","25,10","79,18",8,26/11/2011,9,70,US-Master Jeans,2,7
10646,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"236,3175","128,37","364,69","72,94","58,82",15,01/09/2011,3,1,Lenin Jeansshorts,2,1
10722,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"250,3872","58,73","309,12","0,00","71,33",42,03/04/2011,9,75,Bow tie,2,12
10701,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"520,992","218,69","739,68","96,48","34,44",20,18/08/2011,9,71,Atles Lussekofta,2,15
10298,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"606,1824","95,42","701,60","0,00","78,52",40,12/07/2009,2,2,Mr X Trousers,2,1
10380,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"674,406","140,09","814,50","0,00","77,11",30,22/10/2012,9,70,US-Master Jeans,2,7
10646,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,729,"396,00","1125,00","225,00","58,82",30,01/09/2011,3,71,Atles Lussekofta,2,15
10440,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"753,3972","292,99","1046,39","136,49","73,65",45,14/01/2010,3,2,Mr X Trousers,2,1
10442,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"761,0976","158,10","919,20","0,00","23,33",30,15/01/2010,3,11,Desperado Jeans,2,5
10912,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"899,64","375,36","1275,00","255,00","59,74",40,01/07/2012,3,11,Desperado Jeans,2,5
10800,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1178,55","421,95","1600,50","145,50","51,05",50,31/10/2012,9,11,Desperado Jeans,2,5
10458,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1243,656","258,34","1502,00","0,00","63,98",50,01/03/2012,9,71,Atles Lussekofta,2,15
10373,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1373,328","534,07","1907,40","317,90","25,50",50,10/10/2012,9,71,Atles Lussekofta,2,15
10309,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"95,6448","15,06","110,70","0,00","71,58",30,22/01/2011,3,6,Shagall Socks,2,3
10695,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"147,42","34,58","182,00","0,00","40,99",10,12/04/2011,9,8,Tuxedo,2,3
10712,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"148,9353","36,60","185,54","8,84","23,09",3,26/08/2011,3,53,Jumpin Jack Flash Dress,2,24
10661,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"159,4809","76,79","236,27","39,38","63,60",3,15/07/2011,3,39,Terence Top,2,18
10503,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"181,1092","16,29","197,40","0,00","29,87",20,17/04/2010,3,65,Stretch oui-pants,2,2
10520,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"235,566","48,93","284,50","0,00","31,78",5,04/07/2011,3,53,Jumpin Jack Flash Dress,2,24
10736,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"302,94","71,06","374,00","0,00","63,69",40,16/09/2011,9,65,Stretch oui-pants,2,2
10742,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"319,14","74,86","394,00","0,00","37,65",20,17/02/2011,3,3,Chantell Shirt,2,1
11000,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"328,6332","43,97","372,60","0,00","77,16",30,11/04/2012,3,77,Skirt,2,12
10646,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"373,3695","202,82","576,19","115,24","58,82",35,01/09/2011,3,77,Skirt,2,12
10309,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"373,9392","58,86","432,80","0,00","71,58",20,22/01/2011,3,4,Oyaki Kimono,2,2
11000,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"449,5995","187,59","637,19","127,44","77,16",25,11/04/2012,3,4,Oyaki Kimono,2,2
10946,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"482,9832","64,62","547,60","0,00","47,58",40,18/07/2012,9,77,Skirt,2,12
10429,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"630,315","321,25","951,56","190,31","48,41",35,05/03/2010,9,63,Serve-Shirt,2,7
11034,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"775,7014","103,78","879,48","0,00","54,81",12,24/02/2012,9,44,Okkaba Skin Jackets,2,20
10442,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"967,7664","201,03","1168,80","0,00","23,33",60,15/01/2010,3,66,Langoste Shirt,2,2
10380,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1053,3888","287,73","1341,12","121,92","77,11",20,22/10/2012,9,53,Jumpin Jack Flash Dress,2,24
10312,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1092,6144","171,99","1264,60","0,00","76,68",20,26/02/2011,3,53,Jumpin Jack Flash Dress,2,24
10388,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"2079,6048","432,00","2511,60","0,00","44,70",40,25/06/2010,3,53,Jumpin Jack Flash Dress,2,24
10701,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"10182,186","4274,00","14456,19","1885,59","34,44",35,18/08/2011,9,76,Minnki Pälsii,2,23
10380,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"24,8832","6,80","31,68","2,88","77,11",6,22/10/2012,9,60,Game Over T-Shirt,2,28
10517,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"27,4896","5,71","33,20","0,00","37,44",4,30/08/2010,9,59,Rasta WCT,2,28
10350,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"28,4602","7,77","36,23","3,29","67,66",18,17/10/2009,3,69,Racing Truck  Socks,2,15
10519,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"42,3108","11,34","53,66","2,56","43,11",10,24/10/2010,9,60,Game Over T-Shirt,2,28
10651,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"94,8332","42,42","137,25","27,45","59,87",12,07/07/2011,9,19,Squash Shorts,2,8
11034,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"128,3839","17,18","145,56","0,00","54,81",6,24/02/2012,9,61,Adihash Running Shoe,2,29
11034,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"143,4132","35,45","178,86","16,26","54,81",15,24/02/2012,9,21,Basket Shoes,2,8
10800,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"183,4245","65,67","249,10","22,65","51,05",7,31/10/2012,9,54,Patamonia Fleece Jacket,2,25
10350,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"213,7104","58,37","272,09","24,74","67,66",15,17/10/2009,3,50,Finnish Swimsuit,2,23
10742,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"216,675","50,83","267,50","0,00","37,65",50,17/02/2011,3,60,Game Over T-Shirt,2,28
10298,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"237,168","105,96","343,13","68,63","78,52",30,12/07/2009,2,59,Rasta WCT,2,28
10751,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"243,324","87,12","330,44","30,04","31,69",20,29/04/2011,3,50,Finnish Swimsuit,2,23
10567,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"261,8772","125,00","386,88","64,48","40,24",40,07/04/2010,9,59,Rasta WCT,2,28
10751,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"296,1684","106,04","402,20","36,56","31,69",12,29/04/2011,3,26,Bike Helmet,2,11
10701,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"296,3142","124,38","420,69","54,87","34,44",42,18/08/2011,9,59,Rasta WCT,2,28
10985,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"297,8338","73,61","371,45","33,77","72,53",36,04/04/2012,9,16,Wimbledon T-Shirt,2,7
10815,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"362,3616","85,00","447,36","0,00","45,86",16,10/11/2011,3,33,Car Boots,2,15
10298,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"362,88","57,12","420,00","0,00","78,52",15,12/07/2009,2,62,Sheat Shoes,2,29
10440,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"374,8853","145,79","520,67","67,91","73,65",49,14/01/2010,3,16,Wimbledon T-Shirt,2,7
10722,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"432,4704","95,38","527,85","0,00","71,33",45,03/04/2011,9,68,Cap,2,8
10415,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"464,8058","51,99","516,80","0,00","29,01",20,21/11/2009,3,33,Car Boots,2,15
10271,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"498,9082","78,53","577,44","0,00","62,31",24,18/10/2009,2,33,Car Boots,2,15
10429,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"568,008","117,99","686,00","0,00","48,41",40,05/03/2010,9,50,Finnish Swimsuit,2,23
10678,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"612,36","143,64","756,00","0,00","76,87",30,29/11/2010,9,33,Car Boots,2,15
10458,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"700,7364","145,56","846,30","0,00","63,98",30,01/03/2012,9,26,Bike Helmet,2,11
10678,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"870,183","204,12","1074,30","0,00","76,87",30,29/11/2010,9,54,Patamonia Fleece Jacket,2,25
11002,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1581,1526","108,05","1689,20","0,00","43,90",40,12/12/2011,9,55,Feiss Fleece Trousers,2,25
10440,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"1933,794","752,03","2685,83","350,33","73,65",90,14/01/2010,3,61,Adihash Running Shoe,2,29
10442,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"2412,4608","501,14","2913,60","0,00","23,33",80,15/01/2010,3,54,Patamonia Fleece Jacket,2,25
10695,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"31,8168","7,46","39,28","0,00","40,99",4,12/04/2011,9,12,Tiny Winy Hot Bikini,2,5
11002,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"76,734","23,32","100,05","13,05","43,90",15,12/12/2011,9,35,LA. Shorts,2,16
10335,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"96,6298","37,58","134,21","22,37","46,91",6,25/02/2011,9,32,Rossi Bikkini,2,14
10335,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"183,168","71,23","254,40","42,40","46,91",25,25/02/2011,9,31,Rossi Bermuda Shorts,2,14
10309,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"205,1136","32,29","237,40","0,00","71,58",20,22/01/2011,3,43,Summer Shorts,2,20
11063,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"213,2676","28,53","241,80","0,00","75,08",30,05/03/2012,3,34,Baywatch Bikkini,2,16
10458,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"217,8839","34,92","252,80","0,00","63,98",20,01/03/2012,9,43,Summer Shorts,2,20
10312,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"271,849","42,79","314,64","0,00","76,68",24,26/02/2011,3,43,Summer Shorts,2,20
10722,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"317,925","74,58","392,50","0,00","71,33",50,03/04/2011,9,31,Rossi Bermuda Shorts,2,14
10742,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"344,6742","49,08","393,75","0,00","37,65",35,17/02/2011,3,72,Rossi Shorts,2,14
10567,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"421,362","202,88","624,24","104,04","40,24",60,07/04/2010,9,31,Rossi Bermuda Shorts,2,14
10985,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"633,7611","156,64","790,41","71,86","72,53",35,04/04/2012,9,32,Rossi Bikkini,2,14
10678,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"777,6","182,40","960,00","0,00","76,87",100,29/11/2010,9,12,Tiny Winy Hot Bikini,2,5
10309,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"23,5354","3,70","27,24","0,00","71,58",2,22/01/2011,3,42,Balett Shoes,2,20
10651,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"57,51","31,24","88,75","17,75","59,87",20,07/07/2011,9,22,Ravellis Träskor,2,9
10470,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"110,6622","22,99","133,65","0,00","72,95",15,15/01/2010,3,23,DSW,2,9
10470,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"241,0474","50,07","291,12","0,00","72,95",8,15/01/2010,3,64,WFS shoes,2,12
10516,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"261,3874","30,01","291,40","0,00","78,18",20,30/05/2010,9,42,Balett Shoes,2,20
11002,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"274,4617","80,47","354,94","46,30","43,90",24,12/12/2011,9,42,Balett Shoes,2,20
10355,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"382,32","60,18","442,50","0,00","75,77",25,19/02/2012,3,57,Burned Rubber Shoes,2,26
10517,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"424,7143","88,23","512,94","0,00","37,44",6,30/08/2010,9,52,Small Crocodile Boots,2,24
10458,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,"500,7744","104,03","604,80","0,00","63,98",15,01/03/2012,9,56,High Heels Shoes,2,26
